"unnamed:_0.1","session_id","initiator","start_time","end_time","collaborate_primary","collaborate_secondary","independent_primary","independent_secondary","task_distribution","task_transition","independent_distraction","collaboration_on_distraction","modality","task_allo_and_plann","provision_of_handover_information","info_sharing_and_situ_assess","escalation","information_requesting","responding_to_request","agreement","comparison","unnamed:_0","utterance_id","conversation_id","text","duration","receiver","location","priority","communication_type","stage_based_on_num_of_student","stage_based_on_scenario"
0,149,"blue",1,2,0,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
1,149,"green",1,616,0,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
2,149,"red",1,2,0,0,0,0,0,1,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
3,149,"yellow",1,619,0,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
4,149,"blue",3,7,1,0,0,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
5,149,"red",3,91,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
6,149,"blue",8,76,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
7,149,"blue",77,82,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
8,149,"blue",83,91,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
9,149,"blue",92,136,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
10,149,"red",92,135,0,0,1,0,0,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA
11,149,"red",136,259,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
12,149,"blue",137,258,0,0,0,0,1,0,0,0,"location",0,0,0,0,0,0,0,"low",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
13,149,"red",234.4622,239.0222,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1473,0,48,"I can do Imani, I can do the obs and the antibiotic .",4.56,"blue","bed4","primary","task allocation","1. two students",NA
14,149,"red",240.7022,243.0022,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1474,1,48,"I can do two as well, do you want to do ?",2.3,"blue","bed4","primary","task allocation","1. two students",NA
15,149,"red",246.2622,248.3122,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1475,2,48,"So she's just going to go do that.",2.05,"relative","bed4","primary",NA,"1. two students",NA
16,149,"blue",246.5822,247.5822,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1476,3,48,"Yes.",1,"relative","bed4","primary",NA,"1. two students",NA
17,149,"red",248.3122,251.5522,0,0,0,0,0,0,0,0,"dialogue",1,0,0,0,0,0,0,"low",1477,4,48,"Do you want to do that, or do you want me to do it ?",3.24,"blue","bed4","primary","task allocation","1. two students",NA
18,149,"blue",249.6022,250.7422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,0,0,0,"low",1478,5,48,"Do I.?",1.14,"red","bed4","primary",NA,"1. two students",NA
19,149,"blue",252.2422,253.3422,0,0,0,0,0,0,0,0,"dialogue",0,0,0,0,1,0,0,"low",1479,6,48,"Is it there? The stuff ?",1.1,"red","bed4","primary","information requesting","1. two students",NA
